2011-Sep-30,16:00:00,1.0124,1.0127,1.0123,1.0125
2011-Sep-30,16:01:00,1.0125,1.0126,1.0122,1.0126
2011-Sep-30,16:02:00,1.0126,1.0127,1.0124,1.0125
2011-Sep-30,16:03:00,1.0125,1.0126,1.0118,1.0118
2011-Sep-30,16:04:00,1.0118,1.0119,1.0117,1.0118
2011-Sep-30,16:05:00,1.0118,1.012,1.0116,1.0119
2011-Sep-30,16:06:00,1.0119,1.0119,1.0116,1.0119
2011-Sep-30,16:07:00,1.0119,1.0119,1.0117,1.0117
2011-Sep-30,16:08:00,1.0117,1.0117,1.0113,1.0113
2011-Sep-30,16:09:00,1.0113,1.0113,1.0111,1.0112
2011-Sep-30,16:10:00,1.0112,1.0114,1.011,1.0111
2011-Sep-30,16:11:00,1.0111,1.0112,1.011,1.0111
2011-Sep-30,16:12:00,1.0111,1.0111,1.0107,1.0108
2011-Sep-30,16:13:00,1.0108,1.011,1.0106,1.0108
2011-Sep-30,16:14:00,1.0108,1.0112,1.0108,1.0112
2011-Sep-30,16:15:00,1.0112,1.0114,1.0112,1.0113
2011-Sep-30,16:16:00,1.0113,1.0113,1.0111,1.0113
2011-Sep-30,16:17:00,1.0113,1.0115,1.0112,1.0115
2011-Sep-30,16:18:00,1.0115,1.0115,1.0112,1.0114
2011-Sep-30,16:19:00,1.0114,1.0114,1.0112,1.0113
